,Pud Thai Vs Pho,Hungry Jack s,The Comics Lounge,Fat Face Food,Saddles@HQ,McDonalds,Eat & Grab,Coffee Hq,Australian Education Academy Cafe ,Subway Vic Harbour
Bistro 1,0.01959576919071315,0.016612680815263906,0.02128141777154043,0.028064581562220598,0.05996102044837791,0.0032709951213414214,0.011184142223074085,0.005272271166796172,0.04041144753851776,0.027198473876872048
Pizza Napoli,0.01873826242541606,0.015975833801166905,0.02077090398905572,0.02751262879215662,0.05951070577430659,0.003992937688800333,0.011763746554642882,0.005002515338993709,0.04000968264532826,0.026370352097698117
Stamford Plaza Hotel,0.01952972304533678,0.01608518841551199,0.02183433873567634,0.02858715535425614,0.060555005618195136,0.0029524661286414082,0.01068164889780166,0.0059388599371269345,0.04103244596806311,0.02733403100543183
Daniels Charcoal Grill,0.016162430735979713,0.019477303185966174,0.012362516097477199,0.019179759162409844,0.051070964974392515,0.012087001968085178,0.020090360835505593,0.003995545487842341,0.031600693639808775,0.0209915514221009
Basement 407,0.01753727398866371,0.019705835862368595,0.013960960627514084,0.020837646885569466,0.05250402707244099,0.010525049188589378,0.01854792052627821,0.0022764593640347336,0.03293310987529349,0.022790310681224203
Druids Swanston,0.01753727398866371,0.019705835862368595,0.013960960627514084,0.020837646885569466,0.05250402707244099,0.010525049188589378,0.01854792052627821,0.0022764593640347336,0.03293310987529349,0.022790310681224203
Food By Stax,0.017288709755620274,0.01957975849304492,0.013783877864866175,0.020650563987552766,0.05236347784446947,0.010680318063594782,0.018702538078881177,0.00245426473218764,0.03280930391759215,0.022521212357515107
Nylon Cafe,0.016930765249258704,0.01947896432748829,0.013419757856205729,0.020272076448338693,0.05204495699846693,0.011027264762186975,0.01904576216401979,0.0028442750915824953,0.03251543662890925,0.022081898171333523
Kimchi House,0.01629897642508634,0.019321000683491265,0.012781847976842524,0.01960217918458935,0.05148029266109781,0.011665567308386988,0.019670523305450525,0.003577789622830475,0.03199925448704612,0.021294816645373336
Hungry Jacks,0.0172911560828962,0.01919773828676421,0.0143513488835245,0.021206954374852517,0.052953363110113505,0.01010085802649961,0.018121563650657924,0.0019118109249184434,0.03340462473650588,0.022770512295913377
Citi Espresso,0.0172911560828962,0.01919773828676421,0.0143513488835245,0.021206954374852517,0.052953363110113505,0.01010085802649961,0.018121563650657924,0.0019118109249184434,0.03340462473650588,0.022770512295913377
Franklin Cafe,0.01818713494655212,0.02089036229008765,0.013148365616296974,0.02006134370900232,0.051512828225189114,0.011509799994889686,0.019518961058535438,0.003293332167732494,0.03189149469854173,0.022928909886876014
The Garden Cafe,0.016592466213827522,0.02022345560475695,0.01180065619776938,0.018658338670211858,0.0504395730964323,0.01264646991207363,0.02066416503901173,0.004447613462215685,0.030932375127605587,0.021074339802430272
Es Teler 77,0.016721688524994237,0.01788779658701603,0.015418054356088286,0.022207578183436723,0.05413501038056445,0.009060902727229035,0.017043983705544684,0.0016039291410423495,0.03464639749084485,0.022784816676583386
Subway,0.016813657738021362,0.018285225370609535,0.014988689402034423,0.021797222889890815,0.05368127284449389,0.009466208429127734,0.017464787646869494,0.001665779008078462,0.03417825057635138,0.022674629537626972
Ruby Orange,0.01667294160553492,0.017766278254805822,0.015519881918514227,0.022302534008830633,0.05424514525355085,0.008970616877446345,0.016947171889236595,0.0016398962168421077,0.03476237115301404,0.02278967890407713
